"Time [ms]","Size [B]","Used [B]"
"2:44:28.445 PM, Sep 25, 2022","167,772,192","8,744,784"
"2:44:29.439 PM, Sep 25, 2022","167,772,192","8,744,784"
"2:44:30.598 PM, Sep 25, 2022","167,772,192","8,744,784"
"2:44:31.440 PM, Sep 25, 2022","167,772,192","8,744,784"
"2:44:32.440 PM, Sep 25, 2022","167,772,192","8,744,784"
"2:44:33.440 PM, Sep 25, 2022","167,772,192","8,744,784"
"2:44:34.441 PM, Sep 25, 2022","167,772,192","8,744,784"
"2:44:35.441 PM, Sep 25, 2022","167,772,192","8,744,784"
"2:44:36.441 PM, Sep 25, 2022","167,772,192","8,744,784"
"2:44:37.441 PM, Sep 25, 2022","167,772,192","8,744,784"
"2:44:38.442 PM, Sep 25, 2022","167,772,192","8,744,784"
"2:44:39.442 PM, Sep 25, 2022","167,772,192","8,744,784"
"2:44:40.442 PM, Sep 25, 2022","167,772,192","8,744,784"
"2:44:41.442 PM, Sep 25, 2022","167,772,192","92,630,864"
"2:44:42.443 PM, Sep 25, 2022","209,715,232","93,617,224"
"2:44:43.443 PM, Sep 25, 2022","209,715,232","93,617,224"
"2:44:44.443 PM, Sep 25, 2022","209,715,232","93,617,224"
"2:44:45.443 PM, Sep 25, 2022","209,715,232","93,617,224"
"2:44:46.444 PM, Sep 25, 2022","209,715,232","93,617,224"
"2:44:47.444 PM, Sep 25, 2022","209,715,232","93,617,224"
"2:44:48.444 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:44:49.445 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:44:50.445 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:44:51.445 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:44:52.445 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:44:53.446 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:44:54.446 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:44:55.446 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:44:56.446 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:44:57.447 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:44:58.447 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:44:59.447 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:45:00.448 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:45:01.448 PM, Sep 25, 2022","125,829,152","21,616,288"
"2:45:02.448 PM, Sep 25, 2022","381,681,696","193,905,320"
"2:45:03.449 PM, Sep 25, 2022","381,681,696","193,905,320"
"2:45:04.449 PM, Sep 25, 2022","381,681,696","193,905,320"
"2:45:05.449 PM, Sep 25, 2022","381,681,696","193,905,320"
"2:45:06.449 PM, Sep 25, 2022","381,681,696","193,905,320"
"2:45:07.450 PM, Sep 25, 2022","381,681,696","193,905,320"
"2:45:08.450 PM, Sep 25, 2022","381,681,696","193,905,320"
"2:45:09.450 PM, Sep 25, 2022","142,606,368","21,593,840"
"2:45:10.451 PM, Sep 25, 2022","142,606,368","21,593,840"
"2:45:11.451 PM, Sep 25, 2022","142,606,368","21,593,840"
"2:45:12.451 PM, Sep 25, 2022","142,606,368","21,593,840"
"2:45:13.452 PM, Sep 25, 2022","142,606,368","21,593,840"
"2:45:14.452 PM, Sep 25, 2022","142,606,368","21,593,840"
"2:45:15.452 PM, Sep 25, 2022","142,606,368","21,593,840"
"2:45:16.452 PM, Sep 25, 2022","142,606,368","21,593,840"
"2:45:17.453 PM, Sep 25, 2022","142,606,368","21,593,840"
"2:45:18.453 PM, Sep 25, 2022","142,606,368","21,593,840"
"2:45:19.453 PM, Sep 25, 2022","142,606,368","21,593,840"
"2:45:20.453 PM, Sep 25, 2022","142,606,368","21,593,840"
"2:45:21.454 PM, Sep 25, 2022","142,606,368","21,593,840"
"2:45:22.454 PM, Sep 25, 2022","142,606,368","34,176,752"
"2:45:23.454 PM, Sep 25, 2022","432,013,344","167,720,776"
"2:45:24.454 PM, Sep 25, 2022","432,013,344","167,720,776"
"2:45:25.455 PM, Sep 25, 2022","432,013,344","167,720,776"
"2:45:26.455 PM, Sep 25, 2022","432,013,344","167,720,776"
"2:45:27.455 PM, Sep 25, 2022","432,013,344","167,720,776"
"2:45:28.456 PM, Sep 25, 2022","432,013,344","167,720,776"
"2:45:29.456 PM, Sep 25, 2022","155,189,280","21,595,648"
"2:45:30.456 PM, Sep 25, 2022","155,189,280","21,595,648"
"2:45:31.457 PM, Sep 25, 2022","155,189,280","21,595,648"
"2:45:32.457 PM, Sep 25, 2022","155,189,280","21,595,648"
"2:45:33.457 PM, Sep 25, 2022","155,189,280","21,595,648"
"2:45:34.458 PM, Sep 25, 2022","155,189,280","21,595,648"
"2:45:35.458 PM, Sep 25, 2022","155,189,280","21,595,648"
